Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,Fault_label
2022-05-01,07.26.26.01,Data Log,Log Period,-0.3,0.3,1.5,32.9,141.0,184193.4,56003.7,44172.8,282490.7,0.0,0.0,366684.3,16228.1,75516.1,206926.2,NORMAL
2022-05-01,07.36.30.00,Data Log,Log Period,-0.3,0.5,1.6,33.2,141.0,184193.4,56003.7,44172.8,282490.9,0.0,0.0,366684.4,16228.1,75516.3,206926.4,NORMAL
2022-05-01,07.46.34.00,Data Log,Log Period,-0.3,0.5,1.7,33.0,148.0,184193.4,56003.8,44172.8,282491.0,0.0,0.0,366684.5,16228.1,75516.5,206926.7,NORMAL
2022-05-01,07.56.38.01,Data Log,Log Period,-0.4,0.4,1.5,32.9,132.0,184193.4,56003.8,44172.8,282491.1,0.0,0.0,366684.6,16228.1,75516.7,206927.0,NORMAL
2022-05-01,08.06.42.00,Data Log,Log Period,-0.2,0.2,2.9,33.3,226.0,184193.4,56003.9,44172.8,282491.2,0.0,0.0,366684.6,16228.1,75517.0,206927.3,NORMAL
2022-05-01,08.16.46.00,Data Log,Log Period,-0.3,0.2,3.3,33.2,254.0,184193.4,56003.9,44172.8,282491.3,0.0,0.0,366684.7,16228.1,75517.5,206927.8,NORMAL
2022-05-01,08.26.50.00,Data Log,Log Period,-0.3,0.2,3.9,33.5,285.0,184193.4,56004.0,44172.8,282491.4,0.0,0.0,366684.7,16228.1,75518.0,206928.4,NORMAL
2022-05-01,08.36.54.00,Data Log,Log Period,-0.4,0.3,3.0,33.6,235.0,184193.4,56004.0,44172.8,282491.5,0.0,0.0,366684.8,16228.1,75518.6,206929.1,NORMAL
2022-05-01,08.46.58.00,Data Log,Log Period,-0.3,0.2,1.3,34.1,122.0,184193.4,56004.1,44172.8,282491.7,0.0,0.0,366684.8,16228.1,75519.1,206929.6,NORMAL
2022-05-01,08.57.02.00,Data Log,Log Period,-0.3,0.5,1.9,32.8,153.0,184193.4,56004.1,44172.8,282491.7,0.0,0.0,366684.9,16228.1,75519.4,206929.9,NORMAL
2022-05-01,09.07.04.00,Data Log,Log Period,2.0,1.6,5.9,33.3,405.0,184193.5,56004.1,44172.8,282491.8,0.0,0.0,366685.0,16228.1,75519.9,206930.7,NORMAL
2022-05-01,09.17.08.00,Data Log,Log Period,3.4,2.0,6.2,34.1,433.0,184194.0,56004.1,44172.9,282491.8,0.0,0.0,366685.4,16228.1,75520.4,206931.7,NORMAL
2022-05-01,09.27.12.00,Data Log,Log Period,4.6,2.4,6.9,34.2,463.0,184194.7,56004.1,44173.2,282491.8,0.0,0.0,366685.8,16228.1,75520.7,206932.8,NORMAL
2022-05-01,09.37.16.00,Data Log,Log Period,5.5,3.1,7.5,34.6,505.0,184195.5,56004.1,44173.6,282491.8,0.0,0.0,366686.3,16228.1,75520.9,206934.0,NORMAL
2022-05-01,09.47.20.00,Data Log,Log Period,6.8,3.5,7.7,33.8,538.0,184196.6,56004.1,44174.1,282491.8,0.0,0.0,366686.8,16228.1,75521.1,206935.3,NORMAL
2022-05-01,09.57.24.00,Data Log,Log Period,7.3,3.5,7.7,34.9,560.0,184197.7,56004.1,44174.6,282491.8,0.0,0.0,366687.4,16228.1,75521.2,206936.6,NORMAL
2022-05-01,10.07.28.00,Data Log,Log Period,8.3,4.3,9.0,35.1,582.0,184198.9,56004.1,44175.2,282491.8,0.0,0.0,366688.0,16228.1,75521.3,206937.9,NORMAL
2022-05-01,10.17.32.00,Data Log,Log Period,9.0,4.4,9.7,35.0,624.0,184200.0,56004.1,44175.8,282491.8,0.0,0.0,366688.5,16228.1,75521.3,206939.1,NORMAL
2022-05-01,10.27.36.00,Data Log,Log Period,6.6,3.5,7.6,37.6,631.0,184201.3,56004.1,44176.4,282491.8,0.0,0.0,366689.2,16228.1,75521.4,206940.5,NORMAL
2022-05-01,10.37.40.00,Data Log,Log Period,6.0,3.2,5.8,38.4,663.0,184202.5,56004.1,44177.0,282491.8,0.0,0.0,366689.8,16228.1,75521.4,206941.8,NORMAL
2022-05-01,10.47.44.00,Data Log,Log Period,8.2,3.9,8.6,38.6,671.0,184203.6,56004.1,44177.6,282491.8,0.0,0.0,366690.4,16228.1,75521.4,206943.0,NORMAL
2022-05-01,10.57.46.00,Data Log,Log Period,4.9,2.2,4.9,39.0,691.0,184204.9,56004.1,44178.2,282491.8,0.0,0.0,366691.0,16228.1,75521.4,206944.3,NORMAL
2022-05-01,11.07.50.00,Data Log,Log Period,9.6,4.4,9.9,39.0,713.0,184206.1,56004.1,44178.8,282491.8,0.0,0.0,366691.6,16228.1,75521.4,206945.5,NORMAL
2022-05-01,11.17.54.00,Data Log,Log Period,10.2,5.0,10.6,37.9,722.0,184207.4,56004.1,44179.5,282491.8,0.0,0.0,366692.2,16228.1,75521.4,206946.8,NORMAL
